1	 $	12.323529411764707,30.86764705882353,22.0,8.602941176470589,3.426470588235294,28.41176470588235,45.25,42.794117647058826,34.911764705882355,30.602941176470587,35.11764705882353,46.98529411764706,44.85294117647059,46.338235294117645,56.80882352941177,35.23529411764706,43.8235294117647,34.89705882352941,35.14705882352941,39.470588235294116,20.544117647058822,35.161764705882355,17.602941176470587,6.014705882352941,8.794117647058824,14.323529411764707,16.705882352941178,17.5,17.558823529411764,15.985294117647058,11.661764705882353,13.323529411764707,12.720588235294118,9.661764705882353,7.897058823529412,9.455882352941176,20.573529411764707,22.852941176470587,21.926470588235293,11.308823529411764,12.838235294117647,14.029411764705882,11.264705882352942,9.191176470588236,8.323529411764707,0.0,0.0,0.0,7.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,9.0
2	 tu	16.10909090909091,20.236363636363638,10.363636363636363,8.745454545454546,15.909090909090908,37.07272727272727,30.70909090909091,34.6,14.418181818181818,45.345454545454544,30.21818181818182,11.345454545454546,22.30909090909091,10.781818181818181,36.25454545454546,32.27272727272727,13.654545454545454,27.272727272727273,15.272727272727273,38.21818181818182,30.272727272727273,38.4,28.490909090909092,41.10909090909091,54.6,17.89090909090909,19.363636363636363,17.945454545454545,18.21818181818182,18.30909090909091,15.163636363636364,15.236363636363636,12.727272727272727,12.745454545454546,12.909090909090908,18.072727272727274,19.0,18.436363636363637,18.745454545454546,20.69090909090909,12.545454545454545,12.563636363636364,12.49090909090909,12.527272727272727,12.563636363636364,9.0,1.0,1.0,3.0,4.0,3.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,6.0
3	 f	0.0,4.688888888888889,9.644444444444444,7.333333333333333,14.444444444444445,2.1333333333333333,17.866666666666667,2.066666666666667,0.0,0.0,8.2,18.0,1.6,0.0,0.0,4.955555555555556,17.977777777777778,1.5777777777777777,0.0,0.0,7.0,17.977777777777778,5.866666666666666,0.0,0.0,1.4444444444444444,3.2444444444444445,4.2444444444444445,3.2,4.088888888888889,4.488888888888889,11.355555555555556,13.177777777777777,13.333333333333334,13.333333333333334,9.8,0.4,0.24444444444444444,0.26666666666666666,2.0,14.666666666666666,14.666666666666666,14.666666666666666,0.0,0.0,2.0,0.0,1.0,3.0,3.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,3.0,4.0
4	 u	17.72093023255814,24.54263565891473,4.248062015503876,16.3953488372093,38.968992248062015,15.465116279069768,30.209302325581394,3.0310077519379846,3.806201550387597,43.83720930232558,11.751937984496124,30.093023255813954,2.511627906976744,0.7131782945736435,40.565891472868216,10.534883720930232,30.356589147286822,9.248062015503876,5.496124031007752,43.63565891472868,6.178294573643411,28.7984496124031,29.728682170542637,22.124031007751938,48.2093023255814,13.883720930232558,13.434108527131784,12.007751937984496,11.852713178294573,11.51937984496124,14.209302325581396,14.472868217054264,13.627906976744185,14.178294573643411,14.542635658914728,12.449612403100776,12.217054263565892,11.852713178294573,12.651162790697674,13.147286821705427,11.193798449612403,13.410852713178295,13.434108527131784,13.062015503875969,13.410852713178295,6.0,2.0,3.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,5.0
5	 n	0.6424242424242425,11.303030303030303,19.296969696969697,3.878787878787879,32.92121212121212,8.472727272727273,22.35151515151515,24.036363636363635,16.12727272727273,43.09090909090909,2.139393939393939,22.484848484848484,16.44242424242424,3.272727272727273,35.03030303030303,12.593939393939394,23.575757575757574,3.1636363636363636,14.333333333333334,31.01818181818182,17.8,15.793939393939393,0.006060606060606061,18.903030303030302,33.054545454545455,8.757575757575758,10.933333333333334,9.50909090909091,11.33939393939394,11.521212121212121,8.812121212121212,12.775757575757575,13.478787878787879,11.284848484848485,13.521212121212121,10.33939393939394,10.33939393939394,9.672727272727272,9.787878787878787,9.927272727272728,14.375757575757575,14.309090909090909,5.0181818181818185,14.424242424242424,14.406060606060606,5.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,3.0,4.0
6	 r	12.720338983050848,20.050847457627118,13.415254237288135,14.73728813559322,27.508474576271187,13.203389830508474,24.11864406779661,22.220338983050848,12.745762711864407,19.54237288135593,7.5,23.991525423728813,18.627118644067796,0.652542372881356,0.1864406779661017,9.415254237288135,24.16949152542373,19.305084745762713,0.4745762711864407,0.0,16.56779661016949,24.16949152542373,23.847457627118644,12.067796610169491,0.0,7.6525423728813555,7.6525423728813555,6.076271186440678,6.669491525423729,7.576271186440678,12.26271186440678,12.584745762711865,12.542372881355933,12.135593220338983,12.601694915254237,12.135593220338983,12.14406779661017,1.9661016949152543,2.0084745762711864,5.3559322033898304,15.338983050847459,15.398305084745763,15.389830508474576,15.288135593220339,0.05084745762711865,4.0,3.0,3.0,3.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0
7	 m	19.254335260115607,22.589595375722542,33.38728323699422,21.161849710982658,43.907514450867055,40.46820809248555,25.745664739884393,40.59537572254335,28.057803468208093,52.93063583815029,34.98843930635838,8.716763005780347,31.965317919075144,12.878612716763005,43.12138728323699,35.4393063583815,9.953757225433526,31.09248554913295,16.68208092485549,46.89017341040462,40.0,18.832369942196532,40.63583815028902,24.410404624277458,53.60115606936416,20.44508670520231,20.84971098265896,19.99421965317919,20.13872832369942,20.786127167630056,12.54335260115607,13.06936416184971,13.508670520231213,13.3121387283237,13.6878612716763,19.31791907514451,19.76300578034682,19.84393063583815,20.404624277456648,20.53179190751445,14.277456647398845,14.260115606936417,14.184971098265896,14.017341040462428,13.826589595375722,14.0,3.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0
8	 I	2.0586080586080584,6.274725274725275,7.868131868131868,9.58974358974359,9.945054945054945,0.42124542124542125,4.435897435897436,11.256410256410257,12.0,12.765567765567766,0.0,1.2454212454212454,10.776556776556777,12.0,11.846153846153847,0.0,1.3406593406593406,10.71062271062271,12.018315018315018,12.926739926739927,0.0,6.761904761904762,11.527472527472527,11.71062271062271,21.3003663003663,5.380952380952381,4.534798534798535,2.5641025641025643,2.6043956043956045,4.190476190476191,11.732600732600732,12.776556776556777,13.703296703296703,14.454212454212454,14.274725274725276,3.1135531135531136,3.128205128205128,2.7875457875457874,3.0146520146520146,5.212454212454213,0.0,13.142857142857142,13.340659340659341,13.351648351648352,13.454212454212454,5.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0
9	 r	9.726708074534162,19.11801242236025,14.813664596273291,10.993788819875776,33.484472049689444,6.627329192546584,23.490683229813666,23.167701863354036,10.472049689440993,19.347826086956523,0.7888198757763976,22.801242236024844,21.869565217391305,0.3105590062111801,0.0,1.565217391304348,23.341614906832298,22.440993788819874,0.5900621118012422,0.0,12.652173913043478,23.74534161490683,23.645962732919255,14.633540372670808,0.0,8.478260869565217,8.440993788819876,5.627329192546584,5.937888198757764,8.403726708074535,11.354037267080745,12.571428571428571,12.565217391304348,11.347826086956522,12.559006211180124,12.53416149068323,12.478260869565217,1.391304347826087,1.6024844720496894,5.22360248447205,15.354037267080745,15.403726708074535,15.428571428571429,15.422360248447205,0.0,5.0,2.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,6.0
10	 q	0.24285714285714285,4.671428571428572,8.942857142857143,12.414285714285715,9.557142857142857,6.0,11.642857142857142,8.971428571428572,11.585714285714285,8.042857142857143,8.114285714285714,12.757142857142858,13.971428571428572,12.485714285714286,12.142857142857142,2.3714285714285714,8.9,15.642857142857142,8.428571428571429,6.0,5.042857142857143,13.785714285714286,15.7,6.428571428571429,0.38571428571428573,4.1571428571428575,6.614285714285714,6.885714285714286,5.085714285714285,6.642857142857143,6.914285714285715,10.928571428571429,12.3,13.428571428571429,11.928571428571429,7.114285714285714,6.6,7.1571428571428575,6.014285714285714,2.842857142857143,11.9,13.657142857142857,14.042857142857143,13.385714285714286,3.2,3.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,4.0,4.0,4.0
