1	0,0,5,15,35,0,8,14,18,42,4,14,18,18,42,12,18,18,18,42,6,15,18,18,33,3,7,10,10,10,0,8,15,15,15,7,7,7,7,7,10,13,13,13,13
10	9,23,24,20,4,16,17,3,23,6,5,17,20,29,6,24,26,23,30,3,21,30,23,25,29,11,11,10,11,11,13,15,15,14,14,8,8,8,8,12,13,13,13,13,13
2	1,19,26,23,6,23,6,0,20,21,30,7,0,6,24,22,27,3,19,13,1,15,18,30,46,11,15,15,15,11,11,15,15,15,12,11,11,11,15,15,8,10,10,13,13
3	1,7,14,15,11,8,16,18,18,10,0,13,18,18,0,2,18,18,18,1,0,12,18,18,27,6,7,5,6,5,11,13,15,15,13,8,8,3,4,8,7,12,13,13,13
4	23,34,42,28,44,42,38,38,31,52,36,27,24,16,42,46,30,24,23,50,44,36,24,28,44,20,21,21,21,21,13,13,14,14,14,23,24,24,24,24,14,14,13,13,13
5	14,20,20,5,0,10,24,24,6,0,9,24,24,11,3,9,24,24,22,5,2,18,24,24,32,8,8,7,7,6,15,15,15,15,0,3,3,8,8,12,9,13,13,13,13
6	13,16,11,15,10,14,18,0,9,26,15,21,4,5,21,15,20,6,6,2,18,24,2,0,0,7,7,7,7,7,12,12,11,11,11,11,12,12,9,0,16,16,16,6,5
7	13,17,3,16,15,18,22,0,1,29,18,25,5,10,19,13,24,4,3,0,13,30,6,0,0,9,8,8,8,9,13,13,13,13,13,14,14,14,7,2,15,15,15,4,3
8	13,20,0,0,0,12,24,0,0,0,9,24,12,20,14,10,24,0,12,18,14,24,4,13,20,7,6,6,6,7,16,16,5,5,4,0,0,10,10,11,12,12,12,12,12
9	0,8,19,20,33,9,23,7,0,5,18,23,3,0,0,18,24,18,1,0,3,18,24,23,31,5,9,9,9,8,8,14,15,15,15,12,12,0,2,12,9,13,13,13,13
